79		1100	557,24	24	4,379	13	4,379	30,65	996,5	537,2	1533,7	65	35	11247	0,0543	0,0677	0,01177	0,335	0,1994	1176
80		1100	557,24	18	4,379	19	4,379	30,65	747,4	785,1	1532,5	48,8	51,2	12551	0,0556	0,069	0,01177	0,335	0,1994	1165
81		1100	557,42	54	3,411	7	3,411	30,7	1360,5	175,5	1536	88,6	11,4	9762	0,0524	0,0659	0,01185	0,3345	0,1994	1193
82		1100	557,42	48	3,411	13	3,411	30,7	1209,3	325,9	1535,3	78,8	21,2	10393	0,0532	0,0665	0,01185	0,3345	0,1994	1187
83		1100	557,42	42	3,411	19	3,411	30,7	1058,2	476,4	1534,5	69	31	11219	0,0539	0,0671	0,01185	0,3345	0,1994	1182
84		1100	557,43	33	3,411	28	3,411	30,7	831,4	702,1	1533,5	54,2	45,8	12069	0,0551	0,0684	0,01185	0,3345	0,1994	1171
85		1200	608,24	33	4,575	4	4,575	32,03	1495,6	180,4	1676,1	89,2	10,8	10245	0,048	0,0605	0,0123	0,3317	0,1974	1259
86		1200	608,24	30	4,575	7	4,575	32,03	1359,7	315,7	1675,4	81,2	18,8	11109	0,0485	0,061	0,0123	0,3317	0,1974	1253
87		1200	608,24	24	4,575	13	4,575	32,03	1087,7	586,4	1674,1	65	35	12277	0,0497	0,0621	0,0123	0,3317	0,1974	1242
88		1200	608,24	18	4,575	19	4,575	32,03	815,8	857	1672,8	48,8	51,2	13700	0,051	0,0634	0,0123	0,3317	0,1974	1229
89		1200	608,54	54	3,564	7	3,564	32,08	1485,3	191,6	1676,9	88,6	11,4	10507	0,048	0,0605	0,01239	0,3312	0,1973	1258
90		1200	608,55	48	3,564	13	3,564	32,08	1320,2	355,8	1676,1	78,8	21,2	11213	0,0487	0,0612	0,01239	0,3312	0,1973	1251
91		1200	608,55	42	3,564	19	3,564	32,08	1155,2	520,1	1675,3	69	31	12129	0,0494	0,0619	0,01239	0,3312	0,1973	1245
92		1200	608,54	33	3,564	28	3,564	32,08	907,7	766,4	1674,1	54,2	45,8	13082	0,0505	0,0628	0,01239	0,3312	0,1973	1236
93		1250	633,49	33	4,669	4	4,669	32,68	1557,7	187,9	1745,7	89,2	10,8	10670	0,0461	0,0582	0,01255	0,3302	0,1964	1290
94		1250	633,49	30	4,669	7	4,669	32,68	1416,1	328,8	1745	81,2	18,8	11570	0,0466	0,0588	0,01255	0,3302	0,1964	1284
95		1250	633,49	24	4,669	13	4,669	32,68	1132,9	610,7	1743,6	65	35	12786	0,0477	0,0599	0,01255	0,3302	0,1964	1272
96		1250	633,49	18	4,669	19	4,669	32,68	849,7	892,6	1742,3	48,8	51,2	14268	0,0489	0,061	0,01255	0,3302	0,1964	1260
97		1250	633,03	54	3,635	7	3,635	32,72	1545	199,3	1744,3	88,6	11,4	10930	0,0461	0,0583	0,01263	0,3297	0,1963	1290
98		1250	633,04	48	3,635	13	3,635	32,72	1373,4	370,2	1743,5	78,8	21,2	11665	0,0468	0,059	0,01263	0,3297	0,1963	1282
99		1250	633,04	42	3,635	19	3,635	32,72	1201,7	541	1742,7	69	31	12617	0,0475	0,0597	0,01263	0,3297	0,1963	1275
100		1250	633,03	33	3,635	28	3,635	32,72	944,2	797,3	1741,4	54,2	45,8	13609	0,0486	0,0606	0,01263	0,3297	0,1963	1265
101		1300	658,42	33	4,76	4	4,76	33,32	1619,1	195,3	1814,4	89,2	10,8	11090	0,0443	0,0562	0,01279	0,3287	0,1955	1321
102		1300	658,43	30	4,76	7	4,76	33,32	1471,9	341,8	1813,7	81,2	18,8	12026	0,0448	0,0567	0,01279	0,3287	0,1955	1315
103		1300	658,43	24	4,76	13	4,76	33,32	1177,5	634,8	1812,3	65	35	13290	0,0459	0,0577	0,01279	0,3287	0,1955	1303
104		1300	658,42	18	4,76	19	4,76	33,32	883,1	927,7	1810,8	48,8	51,2	14830	0,0471	0,0588	0,01279	0,3287	0,1955	1291
105		1300	658,72	54	3,708	7	3,708	33,37	1607,7	207,4	1815,1	88,6	11,4	11373	0,0443	0,0562	0,01288	0,3282	0,1954	1322
106		1300	658,72	48	3,708	13	3,708	33,37	1429,1	385,2	1814,3	78,8	21,2	12138	0,045	0,0568	0,01288	0,3282	0,1954	1315
107		1300	658,71	42	3,708	19	3,708	33,37	1250,4	562,9	1813,4	69	31	13128	0,0456	0,0574	0,01288	0,3282	0,1954	1308
108		1300	658,72	33	3,708	28	3,708	33,37	982,5	829,6	1812,1	54,2	45,8	14161	0,0467	0,0584	0,01288	0,3282	0,1954	1296
109		1400	709,4	54	3,848	7	3,848	34,63	1731,4	223,4	1954,8	88,6	11,4	12015	0,0412	0,0524	0,01337	0,3254	0,1936	1384
110		1400	709,39	48	3,848	13	3,848	34,63	1539	414,8	1953,8	78,8	21,2	12864	0,0418	0,0531	0,01337	0,3254	0,1936	1375
111		1400	709,4	42	3,848	19	3,848	34,63	1346,7	606,3	1952,9	69	31	13953	0,0424	0,0536	0,01337	0,3254	0,1936	1368
112		1400	709,4	33	3,848	28	3,848	34,63	1058,1	893,5	1951,5	54,2	45,8	15105	0,0433	0,0546	0,01337	0,3254	0,1936	1356
113		1500	760,05	54	3,983	7	3,983	35,85	1855	239,3	2094,3	88,6	11,4	12873	0,0384	0,0493	0,01384	0,3228	0,192	1442
114		1500	760,05	48	3,983	13	3,983	35,85	1648,9	444,4	2093,4	78,8	21,2	13783	0,039	0,0498	0,01384	0,3228	0,192	1434
115		1500	760,05	42	3,983	19	3,983	35,85	1442,8	649,6	2092,4	69	31	14950	0,0396	0,0504	0,01384	0,3228	0,192	1426
116		1500	760,04	33	3,983	28	3,983	35,85	1133,6	957,2	2090,8	54,2	45,8	16183	0,0404	0,0512	0,01384	0,3228	0,192	1415
117		1600	811,26	54	4,115	7	4,115	37,04	1980	255,4	2235,5	88,6	11,4	13740	0,036	0,0465	0,0143	0,3203	0,1904	1500
118		1600	811,26	48	4,115	13	4,115	37,04	1760	474,4	2234,4	78,8	21,2	14712	0,0365	0,047	0,0143	0,3203	0,1904	1492
119		1600	811,26	42	4,115	19	4,115	37,04	1540	693,3	2233,3	69	31	15957	0,0371	0,0475	0,0143	0,3203	0,1904	1484
120		1600	811,26	33	4,115	28	4,115	37,04	1210	1021,7	2231,8	54,2	45,8	17274	0,0379	0,0483	0,0143	0,3203	0,1904	1472
121		1700	860,89	54	4,239	7	4,239	38,15	2101,2	271,1	2372,2	88,6	11,4	14581	0,0339	0,0441	0,01473	0,3181	0,189	1555
122		1700	860,89	48	4,239	13	4,239	38,15	1867,7	503,4	2371,1	78,8	21,2	15612	0,0344	0,0446	0,01473	0,3181	0,189	1546
123		1700	860,89	42	4,239	19	4,239	38,15	1634,2	735,7	2370	69	31	16933	0,0349	0,0451	0,01473	0,3181	0,189	1537
124		1700	860,89	33	4,239	28	4,239	38,15	1284	1084,2	2368,3	54,2	45,8	18330	0,0357	0,0458	0,01473	0,3181	0,189	1525
125		1750	887,08	54	4,303	7	4,303	38,73	2165,1	279,3	2444,4	88,6	11,4	15025	0,0329	0,0429	0,01495	0,317	0,1883	1582
126		1750	887,08	48	4,303	13	4,303	38,73	1924,5	518,7	2443,2	78,8	21,2	16087	0,0334	0,0434	0,01495	0,317	0,1883	1574
127		1750	887,08	42	4,303	19	4,303	38,73	1684	758,1	2442,1	69	31	17448	0,0339	0,0439	0,01495	0,317	0,1883	1565
128		1750	887,08	33	4,303	28	4,303	38,73	1323,1	1117,2	2440,3	54,2	45,8	18888	0,0347	0,0446	0,01495	0,317	0,1883	1553
129		1800	912,41	54	4,364	7	4,364	39,28	2226,9	287,3	2514,2	88,6	11,4	15453	0,032	0,0419	0,01517	0,3159	0,1876	1609
